Suma de Cantidad;;Fecha;;;;;;;;;;;;;
COD_ART;NOM_ART;09/01/2025;10/01/2025;11/01/2025;13/01/2025;14/01/2025;15/01/2025;16/01/2025;17/01/2025;18/01/2025;20/01/2025;22/01/2025;24/01/2025;27/01/2025;31/01/2025
400121;Miniatura;;-8;;;;;;;;;;;;
401111;Bocata;;-2;;;-476;;-3;;;;;;;
401301;Baguette Plus;;-24;;-2;;;;;;;;;;
401881;Bollo;;-5;;;;;;;;;;;;
402011;Viena Mondat 145 gr;;-372;-1;-2;;;;-224;;;;;;
403341;Barra de Viena;;-10;;;-28;;;;;;;;;
403801;Mini Viena Andaluza;;-29;-1;;;;;;;;;;;
406002;Panecito Integral 100% Ecológico Easy;;-9;;-9;-5;;;;;;;;;
406301;Viena Mondat con Salvado 145 gr;;-41;-1;;;;;;;;;;;
406401;Viena con Salvado Pequeña;;-13;;-1;-8;;;;;;;;;
423111;Panecillo con Cereales y Semillas;;-8;;;;;;;;;;;;
423321;Mollete;;-12;;;;;;;;;;;;
425351;Payesito Mondat;;;-2;-1;;;;;;;;;;
430621;Pepito Easy;;-1;;-2;;;;-140;;;;;;
430702;Panecito Ecológico Easy;;-37;;-21;-8;;;-56;;;;-56;;-56
430731;Panecito Easy;;-6;-5;-13;-35;-6;-8;;-7;-1;-1;;-1;
431610;Bollito 100% Integral Easy Pack 8 unidades;;-8;;;;-84;;;;;;;;
432821;Pan Bocadillo Easy;-1;-6;;;;;;;;;;;;
432911;Panecito con Salvado Easy;;;-1;;-1;-1;;;;;;;;
434201;Viena Easy;-1;-9;;;;;-23;;;;;;;
434721;Bollito Easy;;-15;;;;-280;;;;;;;;
435711;Rombito Integral 100%;;-1;;;;;;;;;;;;
438801;Panecillo con Semillas;;-5;;;;;;;;;;;;
453251;Panecillo 100% Integral;;;;-224;-280;;;;;;;;;
5718540;Panecillo con  Semillas;;;-196;;;;-392;;;;;;;
5718619;Pulguita;;-924;-476;;-924;;-420;;;;;;;
5720811;Baguetina Cereales;;;-28;;;;-112;;;;;;;
604301;Pepito Easy Pack 5 uds;;-5;;;;;;;;;;;;
421702;Barra de Viena Ecológica Easy;;;;;-28;;;;;;;;;
401421;Barra Castellana;;-280;;;;;;-84;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;;;;;-28;;;;;;;;;
423611;Alcachofa Semillada con Sésamo 4,35%;;;;;;;;-36;;;;;;
432111;Pepito Sin Sal Añadida Easy;;;;;-4;;;;;;;;;
